#GRATING,,
#λ,Transmission,Emissivity
#μm,,
0.4,0.35,0.03
0.405,0.35,0.03
0.41,0.35,0.03
0.415,0.35,0.03
0.42,0.35,0.03
0.425,0.35,0.03
0.43,0.35,0.03
0.435,0.35,0.03
0.44,0.35,0.03
0.445,0.35,0.03
0.45,0.35,0.03
0.455,0.35,0.03
0.46,0.35,0.03
0.465,0.35,0.03
0.47,0.35,0.03
0.475,0.35,0.03
0.48,0.35,0.03
0.485,0.35,0.03
0.49,0.35,0.03
0.495,0.35,0.03
0.5,0.35,0.03
0.505,0.35,0.03
0.51,0.35,0.03
0.515,0.35,0.03
0.52,0.35,0.03
0.525,0.35,0.03
0.53,0.35,0.03
0.535,0.35,0.03
0.54,0.35,0.03
0.545,0.35,0.03
0.55,0.35,0.03
0.555,0.35,0.03
0.56,0.35,0.03
0.58,0.35,0.03
0.6,0.35,0.03
0.65,0.35,0.03
0.7,0.35,0.03
0.75,0.35,0.03
0.8,0.35,0.03
0.85,0.35,0.03
0.9,0.35,0.03
0.95,0.35,0.03
1,0.35,0.03
1.05,0.35,0.03
1.1,0.35,0.03
1.15,0.35,0.03
1.2,0.35,0.03
1.25,0.35,0.03
1.3,0.35,0.03
1.4,0.35,0.03
1.5,0.35,0.03
1.6,0.35,0.03
1.7,0.35,0.03
1.8,0.35,0.03
1.9,0.35,0.03
2,0.35,0.03
2.1,0.35,0.03
2.2,0.35,0.03
2.3,0.35,0.03
2.4,0.35,0.03
2.5,0.35,0.03
2.51256,0.35,0.03
2.52525,0.35,0.03
2.53807,0.35,0.03
2.55102,0.35,0.03
2.5641,0.35,0.03
2.57732,0.35,0.03
2.59067,0.35,0.03
2.60417,0.35,0.03
2.6178,0.35,0.03
2.63158,0.35,0.03
2.6455,0.35,0.03
2.65957,0.35,0.03
2.6738,0.35,0.03
2.68817,0.35,0.03
2.7027,0.35,0.03
2.71739,0.35,0.03
2.73224,0.35,0.03
2.74725,0.35,0.03
2.76243,0.35,0.03
2.77778,0.35,0.03
2.7933,0.35,0.03
2.80899,0.35,0.03
2.82486,0.35,0.03
2.84091,0.35,0.03
2.85714,0.35,0.03
2.87356,0.35,0.03
2.89017,0.35,0.03
