#Wavelength,QE
#μm,none
0.4,0.6
0.405,0.6
0.41,0.6
0.415,0.6
0.42,0.6
0.425,0.6
0.43,0.6
0.435,0.6
0.44,0.6
0.445,0.6
0.45,0.6
0.455,0.6
0.46,0.6
0.465,0.6
0.47,0.6
0.475,0.6
0.48,0.6
0.485,0.6
0.49,0.6
0.495,0.6
0.5,0.6
0.505,0.6
0.51,0.6
0.515,0.6
0.52,0.6
0.525,0.6
0.53,0.6
0.535,0.6
0.54,0.6
0.545,0.6
0.55,0.6
0.555,0.6
0.56,0.6
0.58,0.6
0.6,0.6
0.65,0.6
0.7,0.6
0.75,0.6
0.8,0.6
0.85,0.6
0.9,0.6
0.95,0.6
1,0.6
1.05,0.6
1.1,0.6
1.15,0.6
1.2,0.6
1.25,0.6
1.3,0.6
1.4,0.6
1.5,0.6
1.6,0.6
1.7,0.6
1.8,0.6
1.9,0.6
2,0.6
2.1,0.6
2.2,0.6
2.3,0.6
2.4,0.6
2.5,0.6
2.51256,0.6
2.52525,0.6
2.53807,0.6
2.55102,0.6
2.5641,0.6
2.57732,0.6
2.59067,0.6
2.60417,0.6
2.6178,0.6
2.63158,0.6
2.6455,0.6
2.65957,0.6
2.6738,0.6
2.68817,0.6
2.7027,0.6
2.71739,0.6
2.73224,0.6
2.74725,0.6
2.76243,0.6
2.77778,0.6
2.7933,0.6
2.80899,0.6
2.82486,0.6
2.84091,0.6
2.85714,0.6
2.87356,0.6
2.89017,0.6
2.90698,0.6
2.92398,0.6
2.94118,0.6
2.95858,0.6
2.97619,0.6
2.99401,0.6
3.01205,0.6
3.0303,0.6
3.04878,0.6
3.06748,0.6
3.08642,0.6
3.10559,0.6
3.125,0.6
3.14465,0.6
3.16456,0.6
3.18471,0.6
3.20513,0.6
3.22581,0.6
3.24675,0.6
3.26797,0.6
3.28947,0.6
3.31126,0.6
3.33333,0.6
3.3557,0.6
3.37838,0.6
3.40136,0.6
3.42466,0.6
3.44828,0.6
3.47222,0.6
3.4965,0.6
3.52113,0.6
3.5461,0.6
3.57143,0.6
3.59712,0.6
3.62319,0.6
3.64964,0.6
3.67647,0.6
3.7037,0.6
3.73134,0.6
